Mexico,72.2,65
Korea,70.3,60
Iceland,69.7,67
Japan,69.7,64
New Zealand,67.1,65
Israel,67.4,67
Portugal,67.0,65
Chile,66.9,65
Estonia,66.2,63
Sweden,66.0,65
Switzerland,65.7,65
United States,65.5,65.8
Australia,64.8,65
Norway,64.7,67
Denmark,64.4,65
United Kingdom,64.3,65
Canada,63.4,65
Ireland,63.3,66
Turkey,62.8,60
Netherlands,62.1,65
Czech Republic,62.0,62
Slovenia,62.0,63
Greece,61.9,65
Finland,61.8,65
Germany,61.8,65
Spain,61.8,65
Poland,61.7,65
Italy,61.1,65
Hungary,60.0,62
Slovak Republi,59.9,62
Belgium,59.1,65
France,59.1,60
Austria,58.9,65
Luxembourg,57.3,65
Korea,69.8,60
Mexico,69.5,65
Turkey,68.3,58
Japan,67.3,62
Chile,66.3,60
Iceland,65.4,67
New Zealand,65.0,65
United States,64.8,65.8
Norway,64.5,67
Ireland,63.7,66
Israel,63.7,62
Portugal,63.6,65
Sweden,63.6,65
Switzerland,63.5,64
Estonia,63.4,61
Spain,63.4,65
Australia,62.9,64
Netherlands,62.6,65
Canada,62.2,65
United Kingdom,62.1,60
Denmark,61.9,65
Finland,61.4,65
Germany,60.5,65
France,59.7,60
Greece,59.6,60
Slovenia,59.2,61
Belgium,59.1,65
Czech Republic,59.0,59
Hungary,58.9,62
Italy,58.7,60
Poland,58.5,60
Luxembourg,58.0,65
Austria,57.5,60
Slovak Republic,56.2,62

